Year,Quarter,Employment-to-population Ratio [%],Female,Q1,Q2,Q3,Q4,Before_Lockdown,During_Lockdown,Not_Covid,After_Lockdown,After_End_Measures,Two_Year_Before,One_Year_Before,One_Year_After,Two_Year_After
2010,1,3.1031410829346373,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2010,2,3.0849149740336363,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2010,3,3.088478411991845,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2010,4,2.990921995758925,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2010,1,2.482187432841249,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2010,2,2.450226755495308,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2010,3,2.427572635537457,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2010,4,2.399163144563287,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2011,1,2.945205063194429,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2011,2,3.0190594733474425,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2011,3,2.9084514970132664,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2011,4,2.806612284893966,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2011,1,2.361633179763592,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2011,2,2.3373773767968324,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011,3,2.239629209423938,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2011,4,2.240807262120954,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2012,1,2.774238473815227,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2012,2,2.8754546136521246,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2012,3,2.839234410853348,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2012,4,2.771461114391131,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2012,1,2.237054917231295,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2012,2,2.2093132169216023,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2012,3,2.212296195449526,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2012,4,2.1932349626560916,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2013,1,2.6954532440178367,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2013,2,2.6877709017822466,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2013,3,2.7625532590423436,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2013,4,2.6775372281769036,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2013,1,2.1598929950459254,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2013,2,2.1984793443737423,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2013,3,2.1671684364840704,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2013,4,2.196653120207082,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2014,1,2.68396477945971,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2014,2,2.7778641768054757,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2014,3,2.7774718785175496,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2014,4,2.7379057940495635,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2014,1,2.149376510860474,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2014,2,2.151061498866555,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2014,3,2.1863009894075263,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2014,4,2.155012505225642,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2015,1,2.6928891169498157,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2015,2,2.7349763325216974,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2015,3,2.8168510672253912,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2015,4,2.799811147820054,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2015,1,2.0786520397204957,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2015,2,2.1168382081857158,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2015,3,2.104969534203282,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2015,4,2.2075446924379345,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2016,1,2.6833101670388646,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2016,2,2.740951421049049,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2016,3,2.7301368238680905,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2016,4,2.6562187776540775,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2016,1,2.172730455390084,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2016,2,2.1219882442486253,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2016,3,2.077567548796857,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2016,4,2.1848348822936616,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2017,1,2.4923478043660983,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2017,2,2.62488881221652,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2017,3,2.6208072784087677,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2017,4,2.6907103474228786,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2017,1,2.1529745677218495,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2017,2,2.115892947266239,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2017,3,2.221564362658248,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2017,4,2.245230502601595,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2018,1,2.7069184824239096,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2018,2,2.7662469437058044,1,0,1,0,0,1,0,1,0,0,1,0,0,0
2018,3,2.7795721971964533,1,0,0,1,0,1,0,1,0,0,1,0,0,0
2018,4,2.7125945538905145,1,0,0,0,1,1,0,1,0,0,1,0,0,0
2018,1,2.2475356615072637,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2018,2,2.347010228888838,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2018,3,2.3358864304676388,0,0,0,1,0,1,0,1,0,0,1,0,0,0
2018,4,2.3122483588225906,0,0,0,0,1,1,0,1,0,0,1,0,0,0
2019,1,2.6525324328077313,1,1,0,0,0,1,0,1,0,0,0,1,0,0
2019,2,2.771571130859574,1,0,1,0,0,1,0,1,0,0,0,1,0,0
2019,3,2.795609857113274,1,0,0,1,0,1,0,1,0,0,0,1,0,0
2019,4,2.7726454873401862,1,0,0,0,1,1,0,1,0,0,0,1,0,0
2019,1,2.3374190928453626,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2019,2,2.3849895991314654,0,0,1,0,0,1,0,1,0,0,0,1,0,0
2019,3,2.4055979601590103,0,0,0,1,0,1,0,1,0,0,0,1,0,0
2019,4,2.4341071137520753,0,0,0,0,1,1,0,1,0,0,0,1,0,0
2020,1,2.6493185183327226,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2020,2,2.4292602043471057,1,0,1,0,0,0,1,0,1,0,0,0,0,0
2020,3,2.4447365984433413,1,0,0,1,0,0,1,0,1,0,0,0,0,0
2020,4,2.263102435317345,1,0,0,0,1,0,1,0,1,0,0,0,0,0
2020,1,2.1813796874802884,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2020,2,2.087614998181749,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2020,3,2.1265853472584455,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2020,4,2.057420519410854,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2021,1,2.1997639210518924,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2021,2,2.1625287479388144,1,0,1,0,0,0,1,0,1,0,0,0,0,0
2021,3,2.3379183391575684,1,0,0,1,0,0,1,0,1,0,0,0,0,0
2021,4,2.280674229602943,1,0,0,0,1,0,1,0,1,0,0,0,0,0
2021,1,1.9427981104337089,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2021,2,1.9527042362839617,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2021,3,2.188355730067868,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2021,4,2.1885462324880653,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2022,1,2.3274136199720856,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2022,2,2.4773800426505663,1,0,1,0,0,0,1,0,1,0,0,0,0,0
2022,3,2.487669018131754,1,0,0,1,0,0,0,1,1,1,0,0,1,0
2022,4,2.559876048107144,1,0,0,0,1,0,0,1,1,1,0,0,1,0
2022,1,2.2388784982139076,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2022,2,2.389654271287325,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2022,3,2.412466362289481,0,0,0,1,0,0,0,1,1,1,0,0,1,0
2022,4,2.3971053211294495,0,0,0,0,1,0,0,1,1,1,0,0,1,0
2023,1,2.513379643738285,1,1,0,0,0,0,0,1,1,1,0,0,1,0
2023,2,2.579208117123022,1,0,1,0,0,0,0,1,1,1,0,0,1,0
2023,3,2.6885047778478186,1,0,0,1,0,0,0,1,1,1,0,0,0,1
2023,4,2.602429417682838,1,0,0,0,1,0,0,1,1,1,0,0,0,1
2023,1,2.451277366413437,0,1,0,0,0,0,0,1,1,1,0,0,1,0
2023,2,2.4994657605966384,0,0,1,0,0,0,0,1,1,1,0,0,1,0
2023,3,2.6134190253336325,0,0,0,1,0,0,0,1,1,1,0,0,0,1
2023,4,2.488033037364704,0,0,0,0,1,0,0,1,1,1,0,0,0,1
2024,1,2.5369392463470906,1,1,0,0,0,0,0,1,1,1,0,0,0,1
2024,2,2.4848756729043835,1,0,1,0,0,0,0,1,1,1,0,0,0,1
2024,3,2.4128172263522174,1,0,0,1,0,0,0,1,1,1,0,0,0,1
2024,4,2.456344527044348,1,0,0,0,1,0,0,1,1,1,0,0,0,1
2024,1,2.4521505029035584,0,1,0,0,0,0,0,1,1,1,0,0,0,0
2024,2,2.494323920205584,0,0,1,0,0,0,0,1,1,1,0,0,0,0
2024,3,2.4415152388890378,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2024,4,2.564542922612567,0,0,0,0,1,0,0,1,1,1,0,0,0,0
